,dry_bulb_temp_f,relative_humidity,wind_speed,sea_level_pressure,visibility,precip
count,114544.0,114544.0,114544.0,114544.0,114544.0,114544.0
mean,55.24,67.24,11.22,30.01,8.83,0.01
std,17.15,20.23,6.17,0.24,2.65,0.04
min,1.0,8.0,0.0,28.54,0.0,0.0
25%,42.0,51.0,7.0,29.87,9.94,0.0
50%,55.0,69.0,10.0,30.01,10.0,0.0
75%,70.0,85.0,15.0,30.16,10.0,0.0
max,102.0,100.0,53.0,30.85,10.0,2.41
